id,名称,缩写,层级
220421,东丰县,DFX,3
220422,东辽县,DLX,3
220500,通化市,THS,2
220501,市辖区,SXQ,3
220502,东昌区,DCQ,3
220503,二道江区,EDJQ,3
220521,通化县,THX,3
220523,辉南县,HNX,3
220524,柳河县,LHX,3
220581,梅河口市,MHKS,3
220582,集安市,JAS,3
220600,白山市,BSS,2
220601,市辖区,SXQ,3
220602,浑江区,HJQ,3
220605,江源区,JYQ,3
220621,抚松县,FSX,3
220622,靖宇县,JYX,3
220623,长白朝鲜族自治县,CBZXZZZX,3
220681,临江市,LJS,3
220700,松原市,SYS,2
220701,市辖区,SXQ,3
220702,宁江区,NJQ,3
220721,前郭尔罗斯蒙古族自治县,QGELSMGZZZX,3
220722,长岭县,CLX,3
220723,乾安县,GAX,3
220781,扶余市,FYS,3
220800,白城市,BCS,2
220801,市辖区,SXQ,3
220802,洮北区,TBQ,3
220821,镇赉县,ZLX,3
220822,通榆县,TYX,3
220881,洮南市,TNS,3
220882,大安市,DAS,3
222400,延边朝鲜族自治州,YBZXZZZZ,2
222401,延吉市,YJS,3
222402,图们市,TMS,3
222403,敦化市,DHS,3
222404,珲春市,HCS,3
222405,龙井市,LJS,3
222406,和龙市,HLS,3
222424,汪清县,WQX,3
222426,安图县,ATX,3
230000,黑龙江省,HLJS,1
230100,哈尔滨市,HEBS,2
230101,市辖区,SXQ,3
230102,道里区,DLQ,3
230103,南岗区,NGQ,3
230104,道外区,DWQ,3
230108,平房区,PFQ,3
230109,松北区,SBQ,3
230110,香坊区,XFQ,3
230111,呼兰区,HLQ,3
230112,阿城区,ACQ,3
230113,双城区,SCQ,3
230123,依兰县,YLX,3
230124,方正县,FZX,3
230125,宾县,BX,3
230126,巴彦县,BYX,3
230127,木兰县,MLX,3
230128,通河县,THX,3
230129,延寿县,YSX,3
230183,尚志市,SZS,3
230184,五常市,WCS,3
230200,齐齐哈尔市,QQHES,2
230201,市辖区,SXQ,3
230202,龙沙区,LSQ,3
230203,建华区,JHQ,3
230204,铁锋区,TFQ,3
230205,昂昂溪区,AAXQ,3
230206,富拉尔基区,FLEJQ,3
230207,碾子山区,NZSQ,3
230208,梅里斯达斡尔族区,MLSDWEZQ,3
230221,龙江县,LJX,3
230223,依安县,YAX,3
230224,泰来县,TLX,3
230225,甘南县,GNX,3
230227,富裕县,FYX,3
